,IN_BYTES,IN_PKTS,PROTOCOL,TCP_FLAGS,L4_SRC_PORT,IPV4_SRC_ADDR,L4_DST_PORT,IPV4_DST_ADDR,OUT_BYTES,OUT_PKTS,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,ICMP_TYPE,MIN_TTL,MAX_TTL,FLOW_DURATION_MILLISECONDS,ICMP_IPV4_TYPE,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,L7_PROTO,DURATION_IN,DURATION_OUT,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,Label,Attack
0,64,1,17,0,54901,336855563,53,336855553,265,1,64,265,0,0,0,89,0,0,0,5688,23555,1,0,1,0,0,265,64,0,0,0,0,5,0,0,0,0,64,265,0,Benign
1,74,1,17,0,49708,336855563,53,336855553,206,1,74,206,0,0,0,89,0,0,0,6577,18311,1,1,0,0,0,206,74,0,0,0,0,5,0,0,0,0,74,206,0,Benign
2,64,1,17,0,59493,336855563,53,336855553,145,1,64,145,0,0,0,89,0,0,0,5688,12888,1,1,0,0,0,145,64,0,0,0,0,5,0,0,0,0,64,145,0,Benign
3,74,1,17,0,43378,336855563,53,336855553,218,1,74,218,0,0,0,89,0,0,0,6577,19377,1,1,0,0,0,218,74,0,0,0,0,5,0,0,0,0,74,218,0,Benign
4,14663,47,17,0,41882,336855563,443,2398795690,16896,50,52,1385,0,64,64,112209,0,0,0,1045,1204,62,11,4,5,15,1385,52,0,0,0,0,126,112209,112067,0,0,14663,16896,0,Benign
5,520,13,6,17,52304,336855563,80,2398795651,520,13,40,40,0,64,64,106127,0,0,0,39,39,26,0,0,0,0,40,40,0,0,0,0,63,106127,106126,63882,31915,520,520,0,Benign
6,520,13,6,17,52296,336855563,80,2398795651,520,13,40,40,0,64,64,105871,0,0,0,39,39,26,0,0,0,0,40,40,0,0,0,0,7,105871,105870,63791,32341,520,520,0,Benign
7,69,1,17,0,35008,336855563,53,336855553,197,1,69,197,0,0,0,76,0,0,0,7168,20467,1,1,0,0,0,197,69,0,0,0,0,5,0,0,0,0,69,197,0,Benign
8,75,1,17,0,49805,336855563,53,336855553,201,1,75,201,0,0,0,76,0,0,0,7792,20883,1,1,0,0,0,201,75,0,0,0,0,5,0,0,0,0,75,201,0,Benign
9,69,1,17,0,58430,336855563,53,336855553,170,1,69,170,0,0,0,78,0,0,0,6987,17215,1,1,0,0,0,170,69,0,0,0,0,5,0,0,0,0,69,170,0,Benign
10,75,1,17,0,33845,336855563,53,336855553,171,1,75,171,0,0,0,78,0,0,0,7594,17316,1,1,0,0,0,171,75,0,0,0,0,5,0,0,0,0,75,171,0,Benign
11,83,1,17,0,43840,336855563,53,336855553,83,1,83,83,0,0,0,2,0,0,0,221333,221333,2,0,0,0,0,83,83,0,0,0,0,5,0,0,0,0,83,83,0,Benign
12,81,1,17,0,48721,336855563,53,336855553,81,1,81,81,0,0,0,2,0,0,0,216000,216000,2,0,0,0,0,81,81,0,0,0,0,5,0,0,0,0,81,81,0,Benign
13,69,1,17,0,37795,336855563,53,336855553,97,1,69,97,0,0,0,102,0,0,0,5359,7533,2,0,0,0,0,97,69,0,0,0,0,5,0,0,0,0,69,97,0,Benign
14,79,1,17,0,40659,336855563,53,336855553,182,1,79,182,0,0,0,102,0,0,0,6135,14135,1,1,0,0,0,182,79,0,0,0,0,5,0,0,0,0,79,182,0,Benign
15,79,1,17,0,40875,336855563,53,336855553,162,1,79,162,0,0,0,103,0,0,0,6076,12461,1,1,0,0,0,162,79,0,0,0,0,5,0,0,0,0,79,162,0,Benign
16,102,1,17,0,36324,336855563,53,336855553,102,1,102,102,0,0,0,3,0,0,0,204000,204000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
17,102,1,17,0,38423,336855563,53,336855553,102,1,102,102,0,0,0,2,0,0,0,272000,272000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
18,102,1,17,0,52231,336855563,53,336855553,102,1,102,102,0,0,0,4,0,0,0,163200,163200,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
19,72,1,17,0,39048,336855563,53,336855553,199,1,72,199,0,0,0,61,0,0,0,9290,25677,1,1,0,0,0,199,72,0,0,0,0,5,0,0,0,0,72,199,0,Benign
20,72,1,17,0,57377,336855563,53,336855553,169,1,72,169,0,0,0,63,0,0,0,9000,21125,1,1,0,0,0,169,72,0,0,0,0,5,0,0,0,0,72,169,0,Benign
21,82,1,17,0,52152,336855563,53,336855553,82,1,82,82,0,0,0,3,0,0,0,164000,164000,2,0,0,0,0,82,82,0,0,0,0,5,0,0,0,0,82,82,0,Benign
22,223,4,6,25,35476,336855563,443,2398798574,120,3,40,79,0,64,64,70,0,0,0,25126,13521,7,0,0,0,0,79,40,0,0,0,0,91,70,70,62780,31845,223,120,0,Benign
23,102,1,17,0,35056,336855563,53,336855553,102,1,102,102,0,0,0,7,0,0,0,102000,102000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
24,102,1,17,0,40518,336855563,53,336855553,102,1,102,102,0,0,0,3,0,0,0,204000,204000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
25,102,1,17,0,34350,336855563,53,336855553,102,1,102,102,0,0,0,4,0,0,0,163200,163200,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
26,954,12,6,29,53148,336855563,443,2398825028,547,7,40,268,0,64,64,22750,0,0,0,335,192,16,2,1,0,0,268,40,0,0,0,0,91,22750,22667,63744,32768,954,547,0,Benign
27,223,4,6,29,40866,336855563,443,2649802275,158,3,40,79,0,64,64,58,0,0,0,30237,21423,7,0,0,0,0,79,40,0,0,0,0,91,58,57,63480,31845,223,158,0,Benign
28,3525,24,17,0,55778,336855563,443,2398825028,12282,27,55,1385,0,64,64,2629,0,0,0,10722,37359,31,7,4,2,7,1385,55,0,0,0,0,126,2531,2514,0,0,3525,12282,0,Benign
29,263,5,6,29,58218,336855563,443,2649755668,184,4,40,79,10240,64,64,58,40,0,0,35661,24949,9,0,0,0,0,79,40,40,1,0,0,91,58,57,65535,31966,263,184,0,Benign
30,263,5,6,29,48472,336855563,443,2649755668,184,4,40,79,10240,64,64,109,40,0,0,19127,13381,9,0,0,0,0,79,40,40,1,0,0,91,109,108,62780,31845,263,184,0,Benign
31,3992,21,6,26,46154,336855563,443,2398801541,10034,17,40,1500,0,64,64,119198,0,0,0,267,673,25,1,2,3,7,1500,40,0,0,0,0,126,119198,118642,64240,32768,3992,10034,0,Benign
32,2107,20,6,26,46170,336855563,443,2398801541,8777,15,40,1428,0,64,64,119198,0,0,0,141,589,25,1,1,3,5,1428,40,0,0,0,0,126,119198,118642,64240,32768,2107,8777,0,Benign
33,1480,15,6,26,38806,336855563,443,2899947246,7977,12,40,1428,0,64,64,119180,0,0,0,99,535,19,1,0,2,5,1428,40,0,0,0,0,126,119180,118621,64240,32768,1480,7977,0,Benign
34,102,1,17,0,50450,336855563,53,336855553,102,1,102,102,0,0,0,3,0,0,0,204000,204000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
35,102,1,17,0,47624,336855563,53,336855553,102,1,102,102,0,0,0,3,0,0,0,204000,204000,2,0,0,0,0,102,102,0,0,0,0,5,0,0,0,0,102,102,0,Benign
36,67,1,17,0,56976,336855563,53,336855553,83,1,67,83,0,0,0,168,0,0,0,3171,3928,2,0,0,0,0,83,67,0,0,0,0,203,0,0,0,0,67,83,0,Benign
37,68,1,17,0,51060,336855563,53,336855553,84,1,68,84,0,0,0,168,0,0,0,3218,3976,2,0,0,0,0,84,68,0,0,0,0,5,0,0,0,0,68,84,0,Benign
38,67,1,17,0,44452,336855563,53,336855553,132,1,67,132,0,0,0,168,0,0,0,3171,6248,1,1,0,0,0,132,67,0,0,0,0,203,0,0,0,0,67,132,0,Benign
39,68,1,17,0,38673,336855563,53,336855553,316,1,68,316,0,0,0,274,0,0,0,1978,9192,1,0,1,0,0,316,68,0,0,0,0,5,0,0,0,0,68,316,0,Benign
40,76,1,17,0,55861,336855563,53,336855553,0,0,0,76,0,0,0,0,0,0,0,608000,0,1,0,0,0,0,76,76,0,0,0,0,5,0,0,0,0,76,0,0,Benign
41,79,1,17,0,43376,336855563,53,336855553,79,1,79,79,0,0,0,8,0,0,0,70222,70222,2,0,0,0,0,79,79,0,0,0,0,5,0,0,0,0,79,79,0,Benign
42,76,1,17,0,57476,336855563,53,336855553,201,1,76,201,0,0,0,61,0,0,0,9806,25935,1,1,0,0,0,201,76,0,0,0,0,5,0,0,0,0,76,201,0,Benign
43,76,1,17,0,33973,336855563,123,3112025656,76,1,76,76,0,0,0,210,0,0,0,2881,2881,2,0,0,0,0,76,76,0,0,0,0,9,0,0,0,0,76,76,0,Benign
44,1441,15,6,26,39230,336855563,443,2398797825,10318,14,40,1428,0,64,64,61788,0,0,0,186,1335,19,1,0,3,6,1428,40,0,0,0,0,126,61788,61019,64240,32768,1441,10318,0,Benign
45,1441,15,6,26,46522,336855563,443,2899947073,10318,14,40,1428,0,64,64,61791,0,0,0,186,1335,19,1,0,3,6,1428,40,0,0,0,0,126,61791,61025,64240,32768,1441,10318,0,Benign
46,1441,15,6,26,52164,336855563,443,2398798113,10319,14,40,1428,0,64,64,61788,0,0,0,186,1336,19,1,0,3,6,1428,40,0,0,0,0,126,61788,61021,64240,32768,1441,10319,0,Benign
47,1441,15,6,26,35480,336855563,443,2398801889,10319,14,40,1500,0,64,64,61831,0,0,0,186,1335,19,1,0,3,6,1500,40,0,0,0,0,126,61831,61065,64240,32768,1441,10319,0,Benign
48,85,1,17,0,59873,336855563,53,336855553,85,1,85,85,0,0,0,7,0,0,0,85000,85000,2,0,0,0,0,85,85,0,0,0,0,265,0,0,0,0,85,85,0,Benign
49,74,1,17,0,38976,336855563,53,336855553,200,1,74,200,0,0,0,88,0,0,0,6651,17977,1,1,0,0,0,200,74,0,0,0,0,5,0,0,0,0,74,200,0,Benign
50,74,1,17,0,60706,336855563,53,336855553,112,1,74,112,0,0,0,6,0,0,0,84571,128000,2,0,0,0,0,112,74,0,0,0,0,5,0,0,0,0,74,112,0,Benign
51,81,1,17,0,60678,336855563,53,336855553,81,1,81,81,0,0,0,3,0,0,0,162000,162000,2,0,0,0,0,81,81,0,0,0,0,5,0,0,0,0,81,81,0,Benign
52,64,1,17,0,59399,336855563,53,336855553,145,1,64,145,0,0,0,94,0,0,0,5389,12210,1,1,0,0,0,145,64,0,0,0,0,5,0,0,0,0,64,145,0,Benign
53,74,1,17,0,58723,336855563,53,336855553,206,1,74,206,0,0,0,93,0,0,0,6297,17531,1,1,0,0,0,206,74,0,0,0,0,5,0,0,0,0,74,206,0,Benign
54,1361,13,6,26,47620,336855563,443,2398765571,5450,11,40,1500,0,64,64,62107,0,0,0,175,702,18,1,0,2,3,1500,40,0,0,0,0,126,62107,61516,64240,32768,1361,5450,0,Benign
55,80,1,17,0,53655,336855563,53,336855553,80,1,80,80,0,0,0,7,0,0,0,80000,80000,2,0,0,0,0,80,80,0,0,0,0,5,0,0,0,0,80,80,0,Benign
56,1482,11,6,26,33212,336855563,443,2398825002,1224,8,40,808,15360,64,64,61354,60,0,0,193,159,15,2,0,2,0,808,40,60,1,0,0,239,61354,60070,64240,32768,1482,1224,0,Benign
57,3171,17,6,26,60956,336855563,443,2398795694,8017,14,40,1500,0,64,64,62341,0,0,0,406,1028,21,2,0,2,6,1500,40,0,0,0,0,217,62341,61371,64240,32768,3171,8017,0,Benign
58,83,1,17,0,50324,336855563,53,336855553,83,1,83,83,0,0,0,5,0,0,0,110666,110666,2,0,0,0,0,83,83,0,0,0,0,5,0,0,0,0,83,83,0,Benign
59,81,1,17,0,37376,336855563,53,336855553,81,1,81,81,0,0,0,6,0,0,0,92571,92571,2,0,0,0,0,81,81,0,0,0,0,5,0,0,0,0,81,81,0,Benign
60,81,1,17,0,34057,336855563,53,336855553,169,1,81,169,0,0,0,103,0,0,0,6230,13000,1,1,0,0,0,169,81,0,0,0,0,5,0,0,0,0,81,169,0,Benign
61,1461,15,6,26,59278,336855563,443,2398798510,7938,12,40,1500,15360,64,64,69071,60,0,0,169,919,19,1,0,2,5,1500,40,60,1,0,0,126,69071,67935,64240,32768,1461,7938,0,Benign
62,1421,14,6,26,55728,336855563,443,2899945198,7897,11,40,1500,15360,64,64,68123,60,0,0,166,927,17,1,0,2,5,1500,40,60,1,0,0,126,68123,66939,64240,32768,1421,7897,0,Benign
63,74,1,17,0,32979,336855563,53,336855553,206,1,74,206,0,0,0,95,0,0,0,6166,17166,1,1,0,0,0,206,74,0,0,0,0,5,0,0,0,0,74,206,0,Benign
64,148,2,17,0,40864,336855563,53,336855553,218,1,74,218,0,64,64,5338,0,0,0,221,326,2,1,0,0,0,218,74,0,0,0,0,5,5001,0,0,0,148,218,0,Benign
65,82,1,17,0,59174,336855563,53,336855553,82,1,82,82,0,0,0,7,0,0,0,82000,82000,2,0,0,0,0,82,82,0,0,0,0,5,0,0,0,0,82,82,0,Benign
66,78,1,17,0,60642,336855563,53,336855553,216,1,78,216,0,0,0,233,0,0,0,2666,7384,1,1,0,0,0,216,78,0,0,0,0,5,0,0,0,0,78,216,0,Benign
67,78,1,17,0,47657,336855563,53,336855553,228,1,78,228,0,0,0,233,0,0,0,2666,7794,1,1,0,0,0,228,78,0,0,0,0,5,0,0,0,0,78,228,0,Benign
68,66,1,17,0,42221,336855563,53,336855553,66,1,66,66,0,0,0,3,0,0,0,132000,132000,2,0,0,0,0,66,66,0,0,0,0,5,0,0,0,0,66,66,0,Benign
69,70,1,17,0,53465,336855563,53,336855553,163,1,70,163,0,0,0,111,0,0,0,5000,11642,1,1,0,0,0,163,70,0,0,0,0,5,0,0,0,0,70,163,0,Benign
70,70,1,17,0,44246,336855563,53,336855553,205,1,70,205,0,0,0,113,0,0,0,4912,14385,1,1,0,0,0,205,70,0,0,0,0,5,0,0,0,0,70,205,0,Benign
71,66,1,17,0,36082,336855563,53,336855553,82,1,66,82,0,0,0,114,0,0,0,4591,5704,2,0,0,0,0,82,66,0,0,0,0,5,0,0,0,0,66,82,0,Benign
72,79,1,17,0,34263,336855563,53,336855553,79,1,79,79,0,0,0,2,0,0,0,210666,210666,2,0,0,0,0,79,79,0,0,0,0,5,0,0,0,0,79,79,0,Benign
73,86,1,17,0,50801,336855563,53,336855553,294,1,86,294,0,0,0,182,0,0,0,3759,12852,1,0,1,0,0,294,86,0,0,0,0,169,0,0,0,0,86,294,0,Benign
74,267,4,6,27,49288,336855563,80,601926228,312,4,40,188,0,64,64,821,0,0,0,2598,3036,7,1,0,0,0,188,40,0,0,0,0,169,821,411,64240,32768,267,312,0,Benign
75,1401,14,6,26,59306,336855563,443,2398798510,7897,11,40,1500,0,64,64,67521,0,0,0,165,935,17,1,0,2,5,1500,40,0,0,0,0,126,67521,66705,64240,32768,1401,7897,0,Benign
76,27089,78,6,24,60866,336855563,443,578343035,12031,51,40,1466,64256,64,64,103958,251,0,0,2084,925,63,24,7,30,5,1466,40,1019,1,0,0,91,103958,103958,62780,32768,27089,12031,0,Benign
77,1501,16,6,26,58512,336855563,443,2398798378,11066,14,40,1500,15360,64,64,71179,60,0,0,168,1243,20,1,0,2,7,1500,40,60,1,0,0,126,71179,69293,64240,32768,1501,11066,0,Benign
78,1272,12,6,24,48036,336855563,443,578319206,932,11,40,191,0,64,64,97698,0,0,0,104,76,15,8,0,0,0,191,40,0,0,0,0,91,97698,97695,62780,32768,1272,932,0,Benign
79,8577,60,6,24,39420,336855563,443,578350412,19643,61,40,1500,0,64,64,107002,0,0,0,641,1468,79,31,0,0,11,1500,40,0,0,0,0,91,107002,106959,65535,32768,8577,19643,0,Benign
80,67,1,17,0,39234,336855563,53,336855553,83,1,67,83,0,0,0,87,0,0,0,6090,7545,2,0,0,0,0,83,67,0,0,0,0,203,0,0,0,0,67,83,0,Benign
81,67,1,17,0,42001,336855563,53,336855553,67,1,67,67,0,0,0,3,0,0,0,134000,134000,2,0,0,0,0,67,67,0,0,0,0,203,0,0,0,0,67,67,0,Benign
82,76,1,17,0,38057,336855563,53,336855553,226,1,76,226,0,0,0,220,0,0,0,2751,8180,1,1,0,0,0,226,76,0,0,0,0,5,0,0,0,0,76,226,0,Benign
83,81,1,17,0,51182,336855563,53,336855553,97,1,81,97,0,0,0,220,0,0,0,2932,3511,2,0,0,0,0,97,81,0,0,0,0,5,0,0,0,0,81,97,0,Benign
84,76,1,17,0,41366,336855563,53,336855553,214,1,76,214,0,0,0,220,0,0,0,2751,7746,1,1,0,0,0,214,76,0,0,0,0,5,0,0,0,0,76,214,0,Benign
85,81,1,17,0,37287,336855563,53,336855553,81,1,81,81,0,0,0,2,0,0,0,216000,216000,2,0,0,0,0,81,81,0,0,0,0,5,0,0,0,0,81,81,0,Benign
86,73,1,17,0,39848,336855563,53,336855553,137,1,73,137,0,0,0,198,0,0,0,2934,5507,1,1,0,0,0,137,73,0,0,0,0,169,0,0,0,0,73,137,0,Benign
87,73,1,17,0,60303,336855563,53,336855553,204,1,73,204,0,0,0,403,0,0,0,1445,4039,1,1,0,0,0,204,73,0,0,0,0,169,0,0,0,0,73,204,0,Benign
88,73,1,17,0,59298,336855563,53,336855553,73,1,73,73,0,0,0,6,0,0,0,83428,83428,2,0,0,0,0,73,73,0,0,0,0,169,0,0,0,0,73,73,0,Benign
89,316,1,17,0,68,336855563,67,336855555,576,1,316,576,0,0,0,15,0,0,0,158000,288000,0,0,1,1,0,576,316,0,0,0,0,18,0,0,0,0,316,576,0,Benign
90,192,2,58,0,0,0,0,0,0,0,0,96,36608,1,1,392,0,0,0,3908,0,2,0,0,0,0,96,96,0,0,0,0,102,392,0,0,0,192,0,0,Benign
91,97,1,17,0,38646,336855563,53,336855553,158,1,97,158,0,0,0,146,0,0,0,5278,8598,1,1,0,0,0,158,97,0,0,0,0,5,0,0,0,0,97,158,0,Benign
92,97,1,17,0,38433,336855563,53,336855553,193,1,97,193,0,0,0,466,0,0,0,1661,3306,1,1,0,0,0,193,97,0,0,0,0,5,0,0,0,0,97,193,0,Benign
93,10626,33,6,27,55490,336855563,443,3112025142,46441,45,40,1500,0,64,64,6656,0,0,0,12769,55810,37,0,2,4,35,1500,40,0,0,0,0,169,6656,6348,64240,32768,10626,46441,0,Benign
94,1923,12,6,27,40348,336855563,443,3112025142,5335,10,40,1500,0,64,64,6338,0,0,0,2426,6732,15,1,1,1,4,1500,40,0,0,0,0,169,6338,6105,64240,32768,1923,5335,0,Benign
95,1546,17,6,26,55972,336855563,80,400021264,2380,15,40,928,0,64,64,117880,0,0,0,104,161,28,0,2,2,0,928,40,0,0,0,0,63,117880,117320,64240,32768,1546,2380,0,Benign
96,1123,17,6,27,55982,336855563,80,400021264,1533,16,40,929,0,64,64,117270,0,0,0,76,104,31,0,1,1,0,929,40,0,0,0,0,63,117270,116710,64240,32768,1123,1533,0,Benign
97,1123,17,6,27,55992,336855563,80,400021264,1533,16,40,929,0,64,64,117280,0,0,0,76,104,31,0,1,1,0,929,40,0,0,0,0,63,117280,116720,64240,32768,1123,1533,0,Benign
98,1546,17,6,26,55994,336855563,80,400021264,2381,15,40,929,0,64,64,117880,0,0,0,104,161,28,0,2,2,0,929,40,0,0,0,0,63,117879,117319,64240,32768,1546,2381,0,Benign
99,461,8,6,25,53140,336855563,443,2398825028,358,7,40,79,0,64,64,111437,0,0,0,33,25,15,0,0,0,0,79,40,0,0,0,0,91,111437,111282,63744,32659,461,358,0,Benign
